game_language,model,game,experiment,instance,author_role,agentive_persons,user_mentioned,player_count,loops,frustration,confusion,excitement,trace_language_count,suspects_deception,intends_deception,main_score,response_rate,aborted,lose,success,thinking_length,response_length,ratio_thinking_response
de,qwen3-next-80b-a3b-thinking-t1.0,clean_up,1_medium_7obj_de,00000,0.9801136363636364,0.8323863636363636,0.10795454545454546,1.5397727272727273,0.7471590909090909,3.866477272727273,8.011363636363637,0.0,1.9090909090909092,0.019886363636363636,0.0,0.0,1.0,1,1,0,1272012,2528,0.0019874026345663405
de,qwen3-next-80b-a3b-thinking-t1.0,clean_up,1_medium_3obj_de,00002,1.0,1.2380952380952381,0.0,2.0,0.5714285714285714,2.7857142857142856,7.309523809523809,0.23809523809523808,1.8571428571428572,0.0,0.0,100.0,1.0,0,0,1,149850,224,0.001494828161494828
de,qwen3-next-80b-a3b-thinking-t1.0,clean_up,0_easy_5obj_de,00002,0.9545454545454546,1.4242424242424243,0.045454545454545456,1.8636363636363635,0.30303030303030304,1.9696969696969697,6.257575757575758,0.030303030303030304,2.0,0.0,0.0,97.82608695652173,1.0,0,0,1,291560,582,0.001996158595143367
de,qwen3-next-80b-a3b-thinking-t1.0,clean_up,0_easy_7obj_de,00000,0.9236641221374046,0.8091603053435115,0.06870229007633588,1.5572519083969465,0.35877862595419846,1.8778625954198473,6.33587786259542,0.06870229007633588,1.786259541984733,0.0,0.0,94.82758620689656,0.9615384615384616,0,0,1,482418,975,0.0020210688655895926
de,qwen3-next-80b-a3b-thinking-t1.0,clean_up,0_easy_3obj_de,00000,0.8411214953271028,1.2710280373831775,0.08411214953271028,1.8785046728971964,0.6542056074766355,2.803738317757009,7.08411214953271,0.04672897196261682,2.0,0.0,0.0,88.46153846153845,1.0,0,0,1,450346,724,0.0016076527825272125
de,qwen3-next-80b-a3b-thinking-t1.0,clean_up,2_hard_5obj_de,00000,1.0,0.7837837837837838,0.07207207207207207,1.5855855855855856,0.7567567567567568,3.5135135135135136,7.711711711711712,0.06306306306306306,1.7387387387387387,0.0,0.0,92.85714285714286,1.0,0,0,1,457220,629,0.0013757053497222343
de,qwen3-next-80b-a3b-thinking-t1.0,clean_up,2_hard_3obj_de,00001,1.0,1.3571428571428572,0.023809523809523808,2.0595238095238093,0.6428571428571429,2.8095238095238093,7.214285714285714,0.15476190476190477,2.0,0.0,0.0,79.6212294020907,1.0,0,0,1,374892,572,0.0015257727558870289
de,qwen3-next-80b-a3b-thinking-t1.0,dond,coop_de,00004,1.0,1.0,0.0,2.0,1.0,0.2857142857142857,4.071428571428571,0.0,2.0,0.0,0.0,94.44444444444444,1.0,0,0,1,56731,140,0.0024677865717156406
de,qwen3-next-80b-a3b-thinking-t1.0,dond,coop_de,00008,1.0,1.0,0.0,2.0,1.0,1.3333333333333333,6.666666666666667,0.3333333333333333,2.0,0.0,0.0,93.75,1.0,0,0,1,46970,45,0.0009580583351075154
de,qwen3-next-80b-a3b-thinking-t1.0,dond,coop_de,00000,1.0,1.0,0.0,2.0,0.5454545454545454,0.45454545454545453,4.454545454545454,0.3181818181818182,2.0,0.13636363636363635,0.0,100.0,1.0,0,0,1,65141,218,0.0033465866351453
de,qwen3-next-80b-a3b-thinking-t1.0,dond,semi_de,00010,1.0,1.0,0.0,2.0,1.0,1.5714285714285714,4.785714285714286,0.0,2.0,0.0,0.0,0.0,1.0,0,1,0,63694,164,0.0025748108142054195
de,qwen3-next-80b-a3b-thinking-t1.0,dond,semi_de,00015,1.0,1.1818181818181819,0.0,2.0,1.0,0.3181818181818182,5.0,0.5,2.0,0.0,0.0,100.0,1.0,0,0,1,65044,318,0.0048889982165918455
de,qwen3-next-80b-a3b-thinking-t1.0,dond,semi_de,00012,1.0,1.5,0.0,2.0,0.7857142857142857,1.5714285714285714,6.142857142857143,0.5,2.0,0.0,0.0,100.0,1.0,0,0,1,81018,156,0.001925498037473154
de,nemotron-nano-9b-v2-t1.0,hot_air_balloon,air_balloon_survival_de_reasoning off_easy,00001,0.2,1.6,0.8,1.2,0.2,0.8,2.8,0.2,1.0,0.0,0.0,0.0,1.0,1,0,0,20751,1081,0.05209387499397619
de,nemotron-nano-9b-v2-t1.0,hot_air_balloon,air_balloon_survival_de_negotiation_hard,00003,0.52,1.24,0.68,1.28,0.48,1.56,5.08,0.12,1.2,0.0,0.0,0.0,1.0,1,0,0,34449,1958,0.056837644053528404
de,nemotron-nano-9b-v2-t1.0,hot_air_balloon,air_balloon_survival_de_complexity_easy,00004,0.32,1.36,0.68,0.88,0.28,0.8,3.24,0.0,1.12,0.0,0.0,0.0,1.0,1,0,0,25036,2396,0.0957021888480588
de,nemotron-nano-9b-v2-t1.0,hot_air_balloon,air_balloon_survival_de_reasoning off_hard,00003,0.4090909090909091,1.5909090909090908,0.6818181818181818,1.6363636363636365,0.2727272727272727,0.2727272727272727,2.727272727272727,0.0,1.0909090909090908,0.0,0.0,0.0,1.0,0,1,0,56975,2045,0.03589293549802545
de,nemotron-nano-9b-v2-t1.0,hot_air_balloon,air_balloon_survival_de_complexity_hard,00000,0.2,2.4,0.8,1.2,0.2,0.8,2.6,0.0,1.4,0.0,0.0,0.0,1.0,1,0,0,27579,1628,0.05903042169766851
de,nemotron-nano-9b-v2-t1.0,hot_air_balloon,air_balloon_survival_de_negotiation_easy,00000,0.25,1.0,0.75,1.25,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.6666666666666667,1,0,0,41464,881,0.02124734709627629
de,nemotron-nano-9b-v2-t1.0,clean_up,1_medium_5obj_de,00001,0.20444444444444446,1.711111111111111,0.7777777777777778,1.7955555555555556,0.37777777777777777,0.9555555555555556,4.115555555555556,0.0,1.1022222222222222,0.0,0.0,0.0,0.9393939393939394,1,1,0,220818,2112,0.00956443768171073
de,nemotron-nano-9b-v2-t1.0,clean_up,1_medium_7obj_de,00000,0.35964912280701755,1.5,0.6228070175438597,1.7456140350877194,0.3684210526315789,0.8771929824561403,4.324561403508772,0.043859649122807015,1.2543859649122806,0.05263157894736842,0.0,13.686604858451037,0.96,0,0,1,114053,1866,0.0163608147089511
de,nemotron-nano-9b-v2-t1.0,clean_up,1_medium_3obj_de,00002,0.29357798165137616,1.7889908256880733,0.7247706422018348,1.9724770642201834,0.29357798165137616,0.3577981651376147,2.8990825688073394,0.11926605504587157,1.3302752293577982,0.01834862385321101,0.0,96.66666666666667,1.0,0,0,1,72549,1463,0.020165681125859765
de,nemotron-nano-9b-v2-t1.0,clean_up,0_easy_5obj_de,00000,0.375968992248062,1.689922480620155,0.6550387596899225,1.934108527131783,0.5,0.8023255813953488,4.883720930232558,0.031007751937984496,1.2209302325581395,0.0,0.0,0.0,0.9655172413793104,1,1,0,181434,1360,0.007495838707188289
de,nemotron-nano-9b-v2-t1.0,clean_up,0_easy_7obj_de,00000,0.30673316708229426,1.3865336658354115,0.6034912718204489,1.5436408977556109,0.36159600997506236,1.0423940149625934,4.221945137157107,0.012468827930174564,1.2369077306733167,0.0,0.0,0.0,0.9666666666666667,1,1,0,332245,5405,0.016268115396770456
de,nemotron-nano-9b-v2-t1.0,clean_up,0_easy_3obj_de,00002,0.4,1.76,0.8266666666666667,2.066666666666667,0.3466666666666667,0.18666666666666668,3.6,0.06666666666666667,1.2266666666666666,0.0,0.0,11.724370852984784,1.0,0,0,1,55830,1314,0.02353573347662547
de,nemotron-nano-9b-v2-t1.0,clean_up,2_hard_7obj_de,00000,0.1488095238095238,1.6666666666666667,0.6309523809523809,1.6011904761904763,0.11904761904761904,0.8154761904761905,3.9642857142857144,0.03869047619047619,1.2470238095238095,0.0,0.0,0.0,0.9761904761904762,1,1,0,135320,4062,0.030017735737511084
de,nemotron-nano-9b-v2-t1.0,clean_up,2_hard_5obj_de,00000,0.2482758620689655,1.6344827586206896,0.7896551724137931,1.8310344827586207,0.21379310344827587,0.6931034482758621,3.613793103448276,0.05862068965517241,1.2655172413793103,0.0,0.0,0.0,1.0,1,1,0,128246,2763,0.02154453160332486
